Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
fsh-generated/resources/Patient-PatientExample.json	208	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	147	247	0	0	1	0	0	0
fsh-generated/resources/Practitioner-OphthalmologistExample.json	274	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	179	243	0	0	2	0	0	0
fsh-generated/resources/Procedure-CataractSurgeryProcedureExample.json	1014	3	0	0	0	0	0	0	1	713	0	0	0	0	0	0	0	0	0	0	453	230	0	0	2	0	0	0
fsh-generated/resources/Procedure-IntravitrealInjectionProcedureExample.json	947	3	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	409	209	0	0	1	0	0	0
fsh-generated/resources/Procedure-OCTProcedureExample.json	857	3	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	400	221	0	0	2	0	0	0
fsh-generated/resources/ServiceRequest-CornealTomographyServiceRequestExample.json	773	2	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	395	234	0	0	1	0	0	0
fsh-generated/resources/ServiceRequest-OCTMaculaServiceRequestExample.json	768	3	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	406	205	0	0	2	0	0	0
fsh-generated/resources/ServiceRequest-OCTOpticDiscServiceRequestExample.json	777	4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	376	201	0	0	2	0	0	0
fsh-generated/resources/ServiceRequest-OCTServiceRequestExample.json	782	3	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	346	199	0	0	2	0	0	0
fsh-generated/resources/StructureDefinition-convergence-assessment.json	2083	4	0	152	0	0	0	1	1	104	0	0	1	0	0	0	0	1	0	0	18978	8053	0	2	0	6	11	2
fsh-generated/resources/StructureDefinition-corneal-tomography-report.json	1912	2	0	72	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	10478	3139	0	0	0	5	1	2
fsh-generated/resources/StructureDefinition-corrected-intraocular-pressure.json	4139	8	0	85	1	0	0	0	0	89	0	0	1	0	0	0	0	1	0	0	23220	3709	0	0	0	8	0	3
fsh-generated/resources/StructureDefinition-cover-test.json	4575	7	0	74	0	0	0	0	0	125	0	0	0	0	0	0	0	2	0	0	29491	5347	0	0	0	9	1	3
fsh-generated/resources/StructureDefinition-ct-anterior-chamber.json	6315	11	0	106	0	0	0	0	1	118	0	0	0	0	0	0	0	1	0	0	41134	4923	0	0	0	9	0	6
fsh-generated/resources/StructureDefinition-ct-anterior-surface.json	36015	37	0	372	0	0	0	0	2	719	0	0	1	0	0	0	0	7	0	0	264056	14851	0	0	0	40	1	12
